"","Date","Surveyor","Camera_Number","MAX_depth_ft","Site","Area_surveyed_m2","AGLO_size_cm","AGLO_partial_mortality","ICRA_percent_partial_mortality","Notes","Sheet_Name","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","MAX_depth_m","Lat","Long","AGLO_pres","ICRA_pres","AGLO_count","ICRA_count"
"53",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,80,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"54",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,10,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"55",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,85,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"56",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,4,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"57",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,15,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"58",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,90,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"59",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,0,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"60",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,10,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"61",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,40,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"62",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,80,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"63",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,70,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"64",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,70,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
