"COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","SITE","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Bleaching_Period","Survey_Type"
NA,10.0584,60,"TUT-091",50,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",30,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",80,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",30,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",30,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",25,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",10,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",15,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",2,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",10,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",0,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",70,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",0,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",70,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",10,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",50,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",80,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
30,6.7056,60,"TUT-215",5,-14.243735,-170.669372,"2025","QMED","Post-Bleaching","60m"
12.5,6.7056,60,"TUT-215",20,-14.243735,-170.669372,"2025","QMED","Post-Bleaching","60m"
