YEAR,SITE,LATITUDE,LONGITUDE,MAX_DEPTH_M,SURVEYAREA,DENSITY
2023,TUT-05795,-14.364060000000000,-170.761799999999994,7.924413000000000,10.000000000000000,1.800000000000000
2023,TUT-05797,-14.365620000000000,-170.762900000000002,11.886620000000001,10.000000000000000,0.000000000000000
2023,TUT-05804,-14.300620000000000,-170.573299999999989,17.677540000000000,7.500000000000000,0.000000000000000
2023,TUT-05810,-14.279450000000001,-170.547699999999992,11.581830000000000,10.000000000000000,0.000000000000000
2023,TUT-05811,-14.277160000000000,-170.548599999999993,10.362690000000001,10.000000000000000,0.000000000000000
2023,TUT-05839,-14.337130000000000,-170.706899999999990,14.020120000000000,10.000000000000000,0.000000000000000
2023,TUT-05840,-14.353790000000000,-170.730099999999993,15.239260000000000,10.000000000000000,0.000000000000000
2023,TUT-05842,-14.348390000000000,-170.725799999999992,11.277049999999999,10.000000000000000,0.000000000000000
2023,TUT-05847,-14.358900000000000,-170.734199999999987,14.629690000000000,15.000000000000000,0.000000000000000
2023,TUT-05853,-14.283210000000000,-170.624599999999987,12.191409999999999,10.000000000000000,0.700000000000000
2023,TUT-05858,-14.348839999999999,-170.723000000000013,16.763179999999998,10.000000000000000,0.000000000000000
2023,TUT-05860,-14.327050000000000,-170.694400000000002,10.362690000000001,10.000000000000000,0.000000000000000
2023,TUT-05861,-14.308109999999999,-170.691300000000012,12.191409999999999,10.000000000000000,0.000000000000000
